#{"t_start": 1780297418.6229866, "env_id": "None"},
r,l,t
-664.56192,74,5726.205297
-368.364397,23,5735.833512
-340.804463,18,5745.337969
-520.08678,35,5754.980731
-530.31352,39,5764.761313
-364.522585,20,5774.052429
-353.660919,25,5783.032187
-318.848946,15,5791.920227
-129.207156,17,5800.17068
-333.241451,18,5809.194356
-325.897262,19,5817.733186
-400.449669,29,5827.366301
-370.944401,19,5836.660256
-301.466564,18,5844.902055
-423.813162,25,5854.1046
-480.711028,45,5863.841215
-386.272993,23,5872.3758
-3397.439868,227,5891.409774
-198.185463,12,5900.368127
-584.383917,41,5910.50207
-571.998254,55,5920.729372
-5946.243513,392,6074.729418
-322.332226,18,6084.103551
-255.971628,13,6092.16992
-275.937043,14,6101.322658
-617.690323,49,6111.612797
-506.599275,34,6121.478642
-307.375394,15,6129.843
-767.154346,73,6141.706473
-380.773491,30,6151.887023
-195.827781,12,6160.911387
-600.57154,44,6171.650017
-344.236385,20,6180.340057
-349.162696,22,6189.831069
-444.161917,64,6200.61572
-290.800416,17,6210.424992
-189.481434,11,6218.758792
-365.950506,29,6228.384852
-519.965413,37,6238.652993
-322.080955,17,6247.541703
-376.707438,49,6257.45777
-347.86245,24,6266.687584
-525.390857,36,6276.664989
-285.383567,15,6285.75195
-338.569186,30,6294.752228
-479.854215,28,6304.129097
-192.333578,13,6312.859696
-3572.118956,238,6332.457902
-478.516014,35,6342.93303
-422.211252,23,6351.91546
-354.51163,21,6361.29121
-390.970149,26,6370.368189
-270.770695,21,6379.857953
-324.313096,44,6525.58311
-353.266164,21,6534.619333
-530.797809,35,6544.566561
-198.646313,11,6552.955211
-469.035982,38,6562.388848
-418.12063,38,6572.13227
-426.47152,27,6582.021173
-301.961273,21,6591.292952
-549.1101,42,6601.893447
-2821.709168,212,6620.148655
-220.599248,12,6628.996599
-302.707716,14,6638.036308
-227.593093,15,6647.072506
-2490.734063,193,6664.375568
-307.789272,17,6673.477361
-427.073175,32,6683.100213
-512.14426,42,6693.080263
-696.313617,44,6703.71099
-478.457873,44,6714.743192
-491.010664,36,6724.193038
-500.653114,50,6734.624025
-500.557666,37,6744.020684
-513.267765,42,6754.049327
-316.972562,21,6763.483122
-383.380015,17,6773.322975
-228.907723,19,6782.409068
-349.686522,27,6792.110703
-2467.6616,178,6940.425874
-542.587676,63,6952.013681
-324.742035,21,6961.461202
-262.748824,16,6969.667404
-313.302223,28,6979.004972
-532.993083,37,6988.442902
-326.846712,16,6997.454289
-339.353157,20,7006.512785
-382.124359,27,7015.939079
-327.381693,21,7025.225631
-405.604408,27,7034.320019
-332.064558,16,7042.967777
-344.036775,20,7053.588746
-372.909281,22,7062.144908
-290.110014,15,7072.008138
-311.429331,20,7081.433065
-335.211986,21,7090.208176
-553.112476,51,7100.9476
-448.501798,39,7110.428742
-311.961614,43,7120.581566
-272.241769,13,7128.627172
-351.737519,20,7138.359842
-276.961652,25,7147.459811
-351.892262,52,7158.354413
-441.827964,48,7168.642162
-606.703543,46,7178.497995
-631.586605,49,7188.786642
-315.405138,15,7198.114896
-171.032327,12,7207.156307
-363.932399,24,7216.296077
-523.987741,40,7225.840401
-303.743555,15,7234.782776
-221.457188,11,7243.028783
-315.971516,15,7252.016036
-369.430394,28,7261.067692
-737.923323,74,7272.41077
-490.048547,27,7281.64414
-293.405429,16,7290.859226
-377.797589,25,7299.956216
-471.669794,47,7310.146604
-323.082976,19,7319.190067
-406.8395,30,7328.564991
-268.23918,16,7336.855263
-440.246224,39,7346.188989
-253.450757,19,7354.581418
-139.657613,11,7478.904533
-366.854372,24,7488.536603
-613.92812,48,7498.344377
-4849.266135,334,7522.892963
-331.193429,19,7531.630876
-286.955335,18,7540.007221
-466.279588,39,7549.897076
-323.835905,21,7558.339313
-359.853774,25,7567.184674
-611.424763,47,7577.278861
-304.348073,35,7587.070884
-648.982146,62,7597.759881
-317.828054,15,7606.802497
-185.130977,17,7615.085852
-382.165091,25,7624.122572
-513.57774,48,7634.471352
-255.254454,13,7643.815508
-291.953645,15,7652.213688
-339.700827,15,7660.662863
-294.003804,14,7669.841083
-411.855843,31,7679.125346
-232.615229,14,7688.072041
-222.96384,15,7696.664317
-3890.188885,285,7718.348963
-339.333905,19,7727.746681
-327.02681,18,7736.578499
-469.346124,33,7745.629642
-322.148187,13,7754.617102
-332.913737,19,7895.785802
-256.398363,21,7904.598934
-567.989009,36,7914.496951
-277.595738,17,7922.949212
-218.742985,18,7931.653346
-230.873174,21,7940.536833
-355.962888,20,7949.777081
-213.404647,11,7958.614339
-184.781997,13,7966.901768
-307.517741,20,7976.029999
-326.1901,16,7984.418256
-312.703423,20,7993.664486
-201.992064,19,8002.203616
-457.55844,31,8012.243862
-422.325274,43,8022.28422
-294.82544,42,8032.286323
-284.914305,20,8040.680843
-298.753416,21,8050.109108
-581.931821,56,8060.693859
-509.336312,31,8069.876889
-291.982377,15,8078.617001
-207.880495,15,8087.53677
-180.8714,11,8096.696161
-589.874959,58,8107.084186
-342.258849,19,8116.47565
-520.498953,42,8126.162974
-374.243472,25,8134.897315
-323.315562,18,8144.3083
-482.713921,46,8154.360481
-285.876656,45,8164.152399
-209.445051,12,8173.20966
-332.912692,25,8182.774111
-692.717705,36,8192.693624
-307.69946,20,8202.065265
-645.179828,32,8212.11083
-227.754983,18,8220.574022
-573.935527,47,8230.316843
-204.573533,13,8238.595711
-323.917846,23,8248.28553
-323.11878,22,8257.286337
-319.685673,22,8266.719415
-367.090861,25,8276.002736
-166.285077,12,8284.532849
-614.263975,52,8295.052389
-346.502866,24,8304.649376
-405.377254,34,8314.145705
-278.513278,18,8323.1332
-391.056458,30,8332.72423
-347.825935,21,8342.159364
-461.829454,27,8466.68626
-398.689519,42,8476.786027
-270.216274,18,8485.530228
-564.299297,61,8496.259141
-186.382526,11,8505.028086
-270.688414,34,8514.058005
-4440.28463,338,8539.140895
-508.645894,52,8549.388095
-329.444106,18,8558.076169
-294.139532,27,8567.268936
-172.490012,12,8575.660456
-433.17648,33,8585.356175
-168.846115,11,8594.043638
-302.80097,43,8603.690018
-426.182025,32,8612.926204
-437.077612,40,8623.109442
-593.342757,32,8633.042906
-578.286016,39,8643.241556
-595.877299,34,8653.281847
-215.208443,16,8662.423102
-359.194796,36,8672.1293
-295.141483,13,8680.419615
-365.780875,24,8689.151968
-515.860827,37,8698.992925
-363.517117,28,8707.786273
-533.439372,32,8717.682694
-549.031465,45,8728.054025
-194.292762,13,8736.546201
-644.356617,34,8746.852063
-367.017272,21,8755.704059
-539.875157,42,8765.489194
-5186.826235,363,8915.48213
-354.177999,53,8926.279805
-154.823003,12,8934.259845
-342.864494,43,8944.458743
-616.206121,57,8955.509501
-219.37685,14,8964.595135
-475.844488,35,8974.36195
-300.261421,14,8983.716087
-716.899596,57,8994.314581
-427.788661,38,9004.564854
-556.251279,52,9014.619229
-369.339631,46,9025.323548
-558.691687,41,9034.724836
-158.595388,13,9043.916003
-389.185202,43,9053.852119
-493.61306,48,9064.301809
-228.012299,14,9072.487853
-284.002923,17,9081.588833
-361.538407,29,9090.7724
-516.478366,36,9101.263239
-206.822822,11,9109.559483
-443.969198,44,9119.375959
-628.49419,30,9129.268462
-416.472331,33,9139.067744
-594.099854,31,9148.669743
-284.736096,19,9158.053893
-469.381342,51,9168.354159
-402.170203,35,9177.493336
-317.7622,17,9186.834949
-347.671513,24,9196.624713
-356.424432,51,9327.85177
-745.524121,56,9338.221122
-393.336055,30,9347.758878
-222.628219,16,9356.891761
-201.543833,14,9365.494188
-402.350208,39,9375.086376
-567.599645,72,9386.127694
-444.149059,53,9396.372146
-246.986069,23,9404.858947
-540.63677,43,9414.946319
-426.38586,39,9425.245295
-260.2671,23,9434.582045
-730.18665,39,9444.778066
-390.780181,42,9454.671063
-148.10925,11,9462.893108
-798.753042,84,9474.495358
-421.950725,35,9484.802487
-350.440993,25,9493.842821
-504.557153,61,9505.080547
-2607.481688,192,9522.073043
-280.829961,15,9531.427553
-740.493313,50,9541.909809
-2269.929903,174,9558.09675
-505.820331,42,9568.536472
-302.983728,29,9577.500354
-296.965994,19,9586.95025
-547.883552,52,9737.178125
-332.684731,32,9746.70219
-166.2313,12,9754.788848
-872.582349,52,9765.747698
-412.153827,39,9775.958714
-498.326549,40,9785.952006
-327.936521,20,9795.396294
-534.788455,35,9805.710749
-517.338354,43,9815.960377
-854.541784,48,9825.99984
-309.759658,22,9835.88719
-227.452075,19,9844.170177
-153.612912,11,9854.027107
-194.142494,14,9863.060123
-197.257591,14,9872.398718
-213.369667,17,9881.57868
-628.110847,32,9892.056416
-668.275823,33,9902.306965
-205.543338,16,9911.554741
-181.288928,13,9920.318386
-609.342057,38,9930.961286
-711.415116,35,9940.688416
-2475.603374,177,9957.627096
-292.42985,14,9967.599935
-217.655895,19,9976.484303
-396.164042,38,9986.316372
-335.044858,40,9997.561776
-361.469754,22,10006.38834
-701.375246,41,10017.45925
-314.990566,14,10027.10961
-528.584935,37,10036.54646
-353.388162,26,10046.59588
-183.448929,16,10054.98829
-633.139896,35,10065.05935
-547.180094,36,10075.73393
-313.42264,20,10084.27668
-381.661685,23,10094.40215
-788.145904,52,10105.53658
-185.229141,13,10114.02451
-606.998773,42,10251.69193
-208.267281,18,10260.00694
-209.16176,15,10268.93967
-669.867435,54,10279.77871
-208.85431,15,10288.92608
-225.680071,19,10298.1906
-218.226034,20,10307.31835
-2453.179592,186,10324.64464
-526.121515,36,10335.09995
-347.218307,35,10345.30189
-688.801982,35,10354.40672
-218.661678,19,10363.62991
-296.256564,24,10372.73979
-177.550669,14,10381.28225
-711.463482,37,10391.70063
-637.603551,47,10402.83391
-666.4828,48,10412.7915
-192.035018,15,10422.26458
-219.983565,16,10431.89193
-425.283012,45,10441.9312
-232.978177,14,10451.83025
-180.777493,15,10460.0478
-302.344771,18,10469.432
-602.310467,37,10480.18499
-582.160183,39,10489.60527
-483.248714,32,10499.49642
-238.669463,16,10509.05433
-157.139885,11,10517.09564
-246.75874,19,10526.287
-181.764367,15,10534.73504
-241.241279,18,10544.4956
-310.196066,30,10554.02288
-196.461417,14,10562.2198
-658.835531,33,10572.28027
-200.599634,12,10581.55445
-167.18422,11,10589.78611
-534.160528,47,10600.32895
-2299.262645,169,10616.90728
-526.531828,36,10764.57021
-460.763056,34,10773.83737
-600.099507,62,10785.06023
-635.522587,37,10795.02136
-192.704489,14,10804.38104
-519.285497,48,10815.30021
-189.681318,13,10824.93391
-422.039824,41,10834.77954
-659.922727,35,10845.55326
-171.595575,11,10854.71774
-630.407301,35,10863.95315
-183.406388,12,10873.22422
-535.153573,35,10883.68086
-629.027241,35,10893.2273
-727.839352,37,10903.86681
-191.624892,16,10912.45679
-207.987085,12,10921.50246
-203.02251,12,10931.18912
-539.559317,35,10941.40081
-335.820904,45,10951.47449
-172.914882,11,10961.04758
-209.459893,16,10970.4362
-286.158887,18,10979.82293
-203.173285,15,10988.56594
-159.445644,13,10997.88255
-810.067397,47,11008.7387
-2649.990587,188,11026.51485
-658.793112,35,11036.10178
-659.683271,39,11047.03701
-573.717122,38,11056.48009
-683.558443,37,11066.46241
-262.194704,21,11075.00401
-230.189796,12,11084.50404
-446.825285,33,11094.28144
-193.505033,13,11103.16563
-189.091279,11,11112.62609
-2475.40609,176,11265.35921
-552.311997,34,11274.87197
-475.64109,33,11285.12991
-664.087538,36,11294.80326
-2435.938452,182,11311.96463
-307.049862,28,11322.07804
-415.802128,36,11332.27428
-164.814391,12,11340.4226
-649.356509,33,11351.11449
-189.683461,12,11360.41401
-776.596741,51,11370.45162
-211.058028,14,11380.26435
-258.743348,23,11389.40504
-454.008518,37,11399.10821
-369.290995,35,11409.45353
-481.824052,41,11418.95254
-704.577768,51,11429.65913
-478.500837,41,11440.59761
-275.177222,21,11450.08462
-690.396455,36,11460.29141
-455.385452,39,11470.27739
-216.036127,14,11479.16977
-464.392411,58,11490.03299
-351.172546,23,11499.09354
-221.721231,14,11507.3851
-636.416208,38,11517.26936
-455.174326,46,11527.71974
-360.702053,19,11536.24568
-170.754639,11,11545.54351
-632.669876,32,11555.60354
-463.129711,50,11565.69502
-252.085088,18,11575.45277
-215.845616,17,11584.0952
-232.399717,18,11593.8882
-184.931468,16,11602.54943
-255.789625,21,11611.80499
-607.37674,34,11621.65804
-298.133102,41,11761.66489
-455.96752,42,11771.82353
-394.279042,28,11782.00317
-370.237098,36,11791.84226
-539.720473,58,11802.93512
-155.562547,13,11811.50474
-591.575566,31,11821.45943
-491.772723,36,11831.43754
-289.947773,16,11840.54538
-216.165066,16,11849.20728
-227.492018,18,11858.73665
-276.608061,15,11868.13656
-503.917097,40,11878.1487
-211.062348,19,11887.25072
-208.084236,14,11895.84608
-345.30999,42,11906.05089
-344.55535,44,11915.95812
-438.775093,39,11926.6093
-297.087278,38,11936.5736
-3201.838309,250,11958.2304
-427.596261,34,11967.9903
-203.144128,13,11976.70515
-178.077044,10,11985.6096
-614.392563,35,11996.21878
-368.388981,24,12005.37601
-668.185302,35,12015.7831
-220.844133,15,12025.01732
-181.333764,13,12033.86664
-533.986367,38,12044.29518
-389.599711,28,12054.48827
-256.79476,15,12063.88441
-274.832346,29,12073.48889
-326.130763,35,12083.63261
-200.739751,17,12092.48138
-182.02023,12,12101.27986
-377.059125,40,12111.75435
-298.504946,38,12121.25288
-598.606066,54,12256.41713
-282.634461,19,12265.28193
-668.137367,32,12275.48946
-174.650296,11,12284.55955
-424.41599,35,12294.98628
-2472.483418,186,12312.34421
-587.398337,43,12323.35233
-145.464808,11,12331.34902
-319.35781,22,12340.95113
-660.358711,38,12350.74877
-728.16292,35,12360.51154
-247.282695,40,12370.72201
-246.161432,24,12379.51859
-3961.467169,272,12401.87107
-264.853988,16,12411.81033
-262.077239,17,12421.26921
-477.621998,37,12431.19505
-371.617752,38,12441.24554
-240.244082,17,12450.27235
-576.866764,49,12460.71018
-538.809802,42,12470.75909
-353.64727,38,12480.63357
-264.04943,14,12490.50825
-350.174492,24,12500.00581
-363.045399,23,12509.25328
-623.031677,34,12519.45935
-229.562967,13,12528.26106
-305.704251,16,12537.76478
-571.276016,45,12548.70442
-2440.113167,194,12702.76405
-281.160901,26,12712.26601
-382.195629,31,12721.91701
-4246.150921,310,12745.90439
-344.226605,39,12755.80097
-478.966875,38,12765.2423
-235.945889,31,12775.38421
-207.752634,16,12784.43655
-292.185888,19,12793.53732
-311.797816,32,12803.58313
-323.004176,44,12813.93083
-618.881679,38,12824.14279
-671.997587,33,12834.538
-604.120535,46,12844.63617
-178.952581,12,12853.79156
-174.073901,16,12862.49982
-406.611056,39,12872.90688
-587.113974,47,12883.58804
-354.541387,25,12893.6205
-152.7396,11,12901.62598
-353.068242,39,12912.08981
-206.106702,15,12921.28375
-308.610903,20,12930.94591
-520.475623,36,12941.6962
-278.939354,16,12951.08964
-306.401079,23,12960.64066
-364.412926,39,12970.70264
-317.010051,15,12979.71065
-381.264238,37,12990.42779
-231.012075,18,12999.66726
-642.269735,72,13143.61965
-407.788738,36,13153.78211
-466.380115,53,13164.63297
