"#{""t_start"": 1778824503.1099143"," ""env_id"": ""None""}",
r,l,t
-163.332568,13,4411.54477
-1393.249908,207,4430.795772
-172.025204,12,4440.987152
-340.274256,32,4451.916559
-1454.695364,182,4469.768448
-173.430233,17,4625.740877
-260.531012,23,4635.957627
-170.375902,14,4646.372203
-338.147875,36,4656.055968
-186.036145,37,4667.074996
-2840.470002,335,4694.132986
-212.87968,40,4705.891403
-220.31131,15,4715.330184
-182.959364,37,4725.704861
-170.384703,36,4736.696503
-116.467895,14,4744.936375
-113.327052,12,4754.220791
-127.238907,11,4762.974122
-375.47727,36,4774.315871
-227.449588,19,4784.029165
-169.906726,20,4792.845896
-128.161902,12,4802.519273
-129.904459,14,4812.508998
-216.203442,35,4821.715158
-1246.590084,257,4844.409571
-420.790546,40,4854.807806
-203.332715,39,4865.315988
-132.532393,13,4875.333543
-124.391045,40,4886.899484
-144.809847,16,4895.211187
-268.80082,24,4905.014319
-117.622551,13,4913.269022
-156.588961,14,4922.932767
-250.595167,13,4932.575668
-244.660097,15,4941.502412
-170.545463,15,4951.454781
-68.332158,39,5079.588037
-1367.288356,172,5096.818459
-174.84708,14,5106.318539
-219.674042,14,5116.595932
-148.737938,14,5125.013498
-108.233888,34,5135.119464
-143.486194,12,5145.358321
-134.265548,12,5154.110814
-204.92837,41,5164.342493
-47.067448,41,5174.976669
-1407.93978,175,5192.195673
-1200.397791,214,5212.3463
-194.941478,14,5222.755163
-120.78347,13,5231.633229
-156.615136,50,5242.044655
-143.775578,41,5253.186158
-179.851284,37,5264.162757
-142.253996,12,5273.618626
-134.232777,13,5283.304394
-120.966048,45,5294.925611
-144.434763,11,5303.72358
4.432763,56,5315.946039
-152.622039,13,5326.116906
-1295.566854,166,5342.867849
-190.577976,41,5353.501965
-274.948213,32,5505.412147
-107.062086,38,5515.151141
-77.804893,44,5525.216121
-446.084265,37,5536.365728
-156.730563,14,5544.8513
-75.7248,56,5555.732952
-120.573642,11,5564.635256
-393.898257,36,5575.066406
-192.216594,13,5584.49688
-157.842909,15,5594.622091
-117.058871,11,5603.489659
-159.740674,14,5613.296214
-322.485819,41,5623.94424
-184.40963,42,5634.586045
-1432.632642,190,5653.704691
-195.646549,45,5663.944974
-1830.323301,223,5685.526554
-174.058455,12,5694.958474
-107.512382,55,5706.037396
-168.797519,37,5717.421035
-155.494707,15,5727.540225
-193.123103,16,5736.949777
-32.588816,40,5747.350796
-142.029366,12,5757.021923
-133.377867,13,5766.267351
-161.063425,12,5776.34724
-251.108559,38,5787.209201
-144.782825,14,5796.204454
-135.322794,13,5805.522624
-221.943512,26,5815.148258
-163.772098,14,5824.132152
-128.658632,13,5833.419737
-184.186748,48,5843.681479
-160.514299,13,5852.929171
-373.980368,34,5994.629744
-1361.88285,173,6012.952256
-161.999435,14,6022.234272
-161.315645,12,6032.58509
-110.650352,39,6043.96569
-179.639121,58,6054.721761
-131.497835,13,6064.781657
-137.868257,39,6075.967283
-1128.406888,232,6096.364442
-84.952182,62,6107.956381
-131.63753,37,6118.732031
-272.438374,16,6128.265438
-207.251388,13,6138.52721
-1734.075107,223,6158.767125
-357.236854,36,6170.044289
-101.184513,39,6181.324183
-2442.014501,374,6345.589293
-1535.518433,169,6362.529642
-182.541437,46,6373.447441
51.822623,68,6385.091304
-326.551678,35,6395.741662
-140.443793,12,6405.374651
-306.763789,38,6415.589434
-181.785272,38,6425.940522
-143.787309,46,6436.859469
-88.170146,40,6448.191214
-157.721263,35,6458.083618
-54.367045,46,6469.281733
-108.498233,50,6480.620764
-123.350932,42,6491.842733
-127.789351,45,6502.397968
-148.544516,58,6514.570982
-223.509925,59,6526.684359
-322.520172,34,6537.71867
-114.011187,12,6545.811502
-135.343093,13,6555.378907
-174.597541,17,6564.379397
-1315.490698,219,6585.647727
-32.074903,56,6597.649076
-171.594812,14,6739.556248
-77.894879,43,6751.156731
-2724.252089,284,6774.043609
-59.058092,49,6785.026064
-3994.822398,454,6817.139492
-184.098535,37,6828.135923
-181.985617,48,6839.384764
-108.28783,38,6849.626776
-187.280755,35,6860.698431
-189.634672,19,6871.04033
-143.829434,12,6879.655526
-155.094444,13,6889.322163
-1363.537718,220,6910.190803
-1672.160183,209,7055.58108
-146.753798,15,7065.368882
-61.361753,49,7075.519436
-194.100053,25,7085.116779
-2206.857576,271,7108.604652
-178.364056,38,7119.133264
-139.553104,35,7130.087022
-186.613033,16,7140.474806
-129.942,39,7150.090932
-217.37621,18,7160.581797
-145.893044,14,7170.55333
-289.192248,37,7180.599821
-51.638653,45,7192.412251
-121.174551,13,7201.772956
-145.419869,19,7210.43913
-138.058168,13,7220.311527
-1359.82837,198,7239.40606
-160.606365,13,7249.7269
-151.511791,16,7259.222323
22.044413,61,7269.767241
-348.879653,35,7280.625648
-165.574254,17,7290.302354
-134.234195,12,7298.999947
-142.938724,11,7308.47627
-153.938042,47,7319.70274
-86.362132,44,7463.62786
-133.488513,14,7473.883136
-362.310746,37,7485.033359
-157.724316,12,7493.787875
-1351.53594,176,7511.051228
-140.646927,13,7520.283041
8.068256,42,7530.76625
-169.06088,13,7539.325743
-143.943097,45,7551.119881
-1876.158645,213,7570.568365
-38.026697,59,7582.510739
-238.739922,23,7593.087945
-175.05046,19,7602.654077
-1280.339324,164,7619.283031
-146.786895,88,7631.31643
-156.337804,12,7640.8312
-184.139693,27,7651.21919
-203.743434,13,7660.755368
-83.536149,46,7671.842227
70.786658,68,7684.452113
-157.367361,14,7694.213215
-2280.036465,306,7869.170455
-172.628632,30,7879.896759
-78.220179,51,7890.947245
-92.868944,39,7901.050844
-225.053973,14,7911.28597
-150.794302,12,7920.47698
-1147.622888,250,7942.604723
-127.316755,11,7952.22385
-102.113365,13,7960.648163
-54.974703,40,7971.712583
-121.342602,12,7980.953714
-1240.850576,193,7999.277008
-158.698711,35,8010.243787
-1288.325431,165,8026.883638
