#{"t_start": 1779948995.375043, "env_id": "None"}
r,l,t
-48.45935,38,7321.60433
85.940701,85,7492.584978
1713.243879,522,7527.171906
-1828.467842,700,7570.679938
1015.320262,209,7710.467458
44.284125,48,7720.69183
-82.057455,44,7730.626789
3.936951,49,7740.869315
37.370576,51,7751.345186
109.90801,50,7761.626479
828.422166,174,7778.264106
-188.047431,40,7788.159652
1623.81885,265,7809.494507
36.182918,59,7820.036011
-257.800261,35,7829.439904
-7314.935838,1500,8046.252816
769.433689,142,8175.633986
157.458791,62,8186.384266
774.168238,135,8201.360546
1175.712407,192,8219.561971
55.524783,42,8229.951721
696.935989,125,8244.789702
135.018572,115,8258.769958
168.280763,66,8269.796247
601.589928,144,8285.188841
31.858204,65,8295.9195
2317.919352,377,8476.79359
-184.10727,34,8486.533659
948.824719,181,8503.373456
-529.428444,261,8525.037137
948.214807,183,8542.079553
-182.607732,37,8551.862724
32.215792,46,8561.693804
1668.605856,268,8583.041267
-215.36568,26,8592.620712
16.278565,46,8603.108266
59.59236,47,8613.744915
32.926088,54,8775.959555
160.425996,66,8786.988305
19.543311,71,8797.973326
729.93974,161,8814.261626
1045.440174,173,8830.793605
1303.643009,223,8850.296744
31.719221,41,8860.57346
285.23282,88,8872.699331
17.687348,56,8883.431095
17.277745,46,8893.865847
1447.458639,231,8913.178407
-110.374619,27,8922.760825
140.301294,64,9083.710528
152.009384,62,9094.733493
-40.395437,44,9104.786126
-22.00427,44,9114.453225
-127.239258,38,9124.88668
603.630846,769,9170.937797
40.242187,52,9181.049287
957.018725,168,9197.441875
-88.380191,39,9207.431062
133.93487,63,9350.820824
55.236857,41,9360.917767
524.533299,113,9374.014651
-189.255001,45,9384.070161
24.935822,43,9393.703912
4.545176,38,9403.903163
-2726.972652,740,9449.389153
67.730155,50,9460.052432
-96.04847,40,9470.740611
24.121446,38,9481.098875
-77.692287,46,9491.241433
-10.286037,46,9500.980685
-70.618309,40,9637.766617
-142.085625,12,9646.554213
-118.80838,24,9656.190794
1142.090968,198,9674.072568
30.000249,42,9683.685246
7.779565,43,9693.369673
-130.719725,13,9702.709569
-15.604043,47,9713.094074
-25.234598,45,9723.47736
270.286848,99,9737.169154
-15.132956,38,9746.954199
1091.809144,188,9764.248821
-103.332756,317,9788.045313
18.785998,48,9798.133306
-69.359305,34,9807.920109
-81.070234,38,9818.104678
1817.511478,299,9979.877659
-9061.938941,1500,10171.30021
300.069344,95,10184.546804
-66.377463,38,10194.397011
248.481078,74,10205.787106
3.510215,40,10215.268887
-53.213124,38,10225.518616
-188.487402,14,10234.904354
-5.378532,58,10245.491993
-41.70055,40,10255.275307
-135.81743,13,10264.305389
-23.787148,42,10273.988749
-186.301648,22,10283.474944
5.108874,49,10293.584932
-75.553496,38,10303.667103
508.553503,126,10318.208048
-86.75532,46,10328.494905
-187.995879,17,10337.883668
495.782001,114,10485.807889
-140.311158,12,10494.939129
-187.131683,36,10504.67402
-53.29464,40,10515.254789
276.990061,95,10528.495533
-185.96151,31,10538.127769
-118.061367,12,10547.159539
111.525161,61,10558.288161
-117.794341,12,10566.765025
-134.829088,13,10575.695372
-109.690567,53,10585.881308
-32.790881,41,10595.970264
132.417438,64,10606.653338
501.965269,113,10619.732586
36.58004,37,10629.276489
929.135959,166,10646.202157
-131.436132,14,10655.128847
-135.264114,13,10663.456192
-132.648156,13,10672.535166
-107.175652,37,10682.860999
14.533971,41,10692.642035
446.580611,99,10705.176218
-137.122302,13,10713.759067
-21.689658,43,10724.292168
-135.625687,13,10733.421097
-228.616786,49,10743.567802
13.878173,60,10754.347499
-150.035988,46,10764.333663
58.850686,61,10922.202521
193.321282,81,10934.630905
-97.195868,39,10945.171834
-53.983212,38,10955.158
-121.90021,12,10963.987827
5.848623,45,10974.419039
-82.988646,50,10984.430153
136.841177,61,10995.462933
-91.600188,40,11006.112797
-97.725386,36,11016.491599
12.170742,50,11026.625821
-117.38646,12,11035.145459
-59.565633,41,11045.575361
-80.265279,45,11055.203445
-36.950747,61,11065.73898
-56.425953,40,11075.174532
-35.008226,55,11085.561954
-41.16169,43,11096.347597
1.237224,41,11106.285651
173.544614,76,11117.929707
262.234605,95,11130.960763
-37.768693,51,11141.303844
-111.721268,14,11149.633914
-84.491344,35,11159.369562
-138.516291,14,11167.850956
42.329739,45,11177.732104
-3268.870148,922,11365.399467
-35.105168,39,11375.022382
-51.987216,47,11384.802116
-152.11969,39,11394.888718
-161.863969,40,11405.07606
-123.774858,37,11415.610329
292.123989,90,11429.088365
248.823515,69,11440.040729
-47.769595,61,11450.66972
132.249453,59,11461.104915
39.827479,46,11595.76642
805.398388,152,11611.818841
135.711672,60,11622.50791
-231.402913,28,11632.040713
223.583881,69,11643.780475
64.723165,58,11654.911815
240.127494,76,11666.089209
-93.860709,44,11675.873283
-133.054761,42,11686.35988
-135.540312,14,11695.747124
338.902679,85,11707.82888
60.90802,57,11718.359853
-151.122511,37,11728.497981
85.22594,44,11738.18621
3288.356469,470,11769.615258
28.157329,66,11914.452022
758.610871,147,11930.386891
132.347195,57,11941.220551
49.075724,46,11951.382926
31.566882,44,11961.766085
13.118119,35,11971.846261
-107.301956,37,11982.126741
415.838431,94,11994.31353
-48.922094,44,12004.642352
356.989967,203,12022.645492
1500.732991,244,12043.081223
142.446283,64,12053.88485
380.981945,374,12225.716968
13.135266,59,12236.299537
58.294082,47,12246.833418
-32.394352,43,12257.361344
-81.635331,37,12267.498765
499.401297,125,12282.033617
-190.051977,17,12291.421807
35.910485,46,12301.603577
-110.579283,43,12311.944942
-65.887552,40,12322.083115
864.548044,151,12338.019234
45.772372,55,12348.435027
-47.917146,50,12358.467856
1301.763609,213,12377.254305
70.842865,64,12388.694017
185.797078,74,12399.927059
-14.228394,39,12409.479002
-57.073022,35,12568.565699
11.689379,42,12578.513188
-20.749398,44,12589.092594
-34.175884,45,12598.922418
-122.089599,43,12609.350358
-89.149456,46,12619.581753
1160.179583,200,12637.96321
-93.880634,15,12646.246878
-186.014773,14,12655.653031
-15.966014,38,12665.634367
226.706371,77,12677.565568
296.098844,84,12689.255562
59.263924,397,12716.99341
-10.601481,50,12727.725353
126.328857,56,12738.658007
2007.268108,309,12899.460364
-118.367583,12,12908.535567
-49.305467,38,12918.613486
970.381259,161,12934.994417
-161.972244,42,12945.324072
-83.073945,45,12955.857378
100.019044,53,12966.292367
-37.864137,39,12976.669646
1101.392616,283,12998.722259
1324.802286,215,13017.846012
399.368375,126,13032.479102
-33.065484,46,13042.456645
31.915602,46,13201.016719
-55.501495,41,13210.709265
-46.78918,41,13220.544875
110.435946,74,13231.673493
-84.995756,37,13241.128072
228.184192,78,13252.606848
-42.446307,40,13262.444072
31.070249,47,13272.435621
-167.105255,32,13282.218772
-109.717837,22,13291.552362
3582.652153,792,13339.222626
-3548.074589,715,13504.484506
-40.727683,39,13514.809697
220.372952,72,13526.18482
194.910195,76,13537.515685
87.94009,55,13547.896145
-13.919972,43,13557.733174
-18.303632,41,13567.469874
-112.697213,38,13577.962759
-83.66859,41,13588.492958
59.308446,67,13599.387177
-5.970866,40,13609.221351
-95.535535,38,13619.709011
364.322466,171,13753.918631
-33.127678,43,13763.79511
-40.5332,57,13774.577917
617.146948,202,13792.338562
-227.845446,44,13802.215493
-53.10183,110,13815.768151
-80.904669,36,13825.342995
-20.525845,38,13834.825676
-74.649027,47,13845.455557
217.214581,70,13856.93971
1696.43477,265,13878.330988
1754.969089,326,14044.459539
892.306134,158,14060.441396
112.288764,55,14071.114171
-118.214244,12,14079.744546
-53.420848,36,14089.875256
251.251614,75,14101.057474
900.241572,161,14117.642401
-52.875061,39,14127.059116
-766.724156,378,14153.940267
-133.421095,15,14162.268632
-82.985639,39,14172.501629
-23.393084,47,14182.451289
842.878618,181,14199.435135
-75.085641,45,14361.621089
63.401283,56,14372.801956
-184.624478,21,14382.275561
2062.197366,319,14405.766717
-50.544706,41,14415.899578
-96.201809,41,14426.380893
947.109188,164,14442.766951
-140.440628,12,14451.194903
-148.955875,22,14460.63155
-27.809481,45,14471.015053
102.222319,49,14481.20493
-133.540124,15,14490.338074
-44.268725,42,14501.280071
-50.611004,40,14511.11028
-185.055385,18,14520.548585
288.017549,96,14532.984163
-24.656266,36,14542.920359
-128.617218,15,14552.24849
744.614654,431,14728.140934
325.407348,85,14740.020272
1210.03583,198,14758.367933
-64.593507,42,14769.149439
-62.098229,38,14779.413908
1660.554462,336,14803.958401
1157.987363,194,14821.936187
-150.192985,12,14831.272777
-2.008625,327,14998.647686
-215.796434,33,15007.682512
-84.055712,40,15017.879336
-34.137061,40,15028.468687
-36.115199,41,15038.642781
-61.379045,40,15048.930013
1369.291904,285,15071.124909
47.750975,57,15082.141369
188.964038,59,15093.129993
-120.033213,36,15103.135854
975.173377,169,15119.969631
-213.085818,31,15128.957805
63.302064,60,15139.548542
-120.717264,46,15149.489966
-47.692724,42,15159.746481
-14.202583,38,15169.688958
-90.228139,31,15179.327847
1045.212681,182,15330.824555
-102.558823,37,15340.862383
30.915584,45,15351.148646
12.709634,50,15361.333463
511.943862,108,15375.371589
-47.695441,60,15385.81859
-9.697941,41,15395.86858
595.449258,134,15410.95651
-138.170101,39,15421.396284
-23.964005,48,15431.437242
4.939596,51,15441.673692
-128.177918,14,15451.00803
85.839717,77,15462.536204
124.271051,55,15472.771254
-50.297641,36,15482.407907
25.393981,36,15492.741533
-21.054429,44,15503.471726
427.150104,160,15519.452541
150.059903,59,15530.035603
85.247376,50,15540.475834
-129.263873,14,15549.709039
-47.061239,39,15709.262632
746.696471,137,15724.919631
17.591644,43,15734.663238
835.5306,158,15750.729403
1359.253871,221,15769.270576
1153.814195,195,15787.172721
17.920419,41,15797.304631
1346.820098,218,15815.686101
-23.679771,68,15826.470392
1861.504343,291,16008.943359
-54.693322,49,16018.888373
10.450715,38,16028.481512
-30.284703,39,16038.723584
11.371394,42,16048.471251
378.158792,105,16062.37324
29.191784,54,16072.658304
972.586676,176,16089.990858
60.89906,40,16099.775246
957.995765,165,16116.361259
-797.630142,465,16286.818438
-30.257185,40,16296.456669
14.837004,42,16306.740436
128.070344,57,16317.18352
8.229392,43,16327.066999
1389.871884,234,16346.70073
956.054743,166,16363.759128
-72.604752,45,16373.994687
79.150499,51,16384.175178
12.37185,44,16396.550363
-194.855069,14,16405.939838
-305.388897,278,16428.18897
-60.482062,36,16438.115715
334.188549,92,16450.273745
1045.923948,172,16614.7151
-167.485497,31,16624.398478
-196.534422,25,16633.935212
-698.782345,338,16659.144238
-23.24023,40,16669.374899
33.628696,317,16693.10529
21.006926,51,16703.59896
139.322254,59,16714.18126
-70.670603,37,16723.913773
756.514676,342,16879.898901
-151.226303,23,16889.508573
83.960679,54,16899.790415
-194.031772,22,16909.278518
918.763442,165,16926.185107
371.235415,187,16943.847572
123.979783,54,16954.143221
-55.166636,50,16964.390568
-171.09198,20,16973.819771
78.374096,43,16984.107219
135.568648,58,16995.014429
-37.062813,40,17005.635194
-50.324219,136,17020.428251
1186.924897,191,17038.191333
62.803591,49,17048.336612
-46.232573,54,17058.472871
1352.84147,219,17240.874237
-117.722155,47,17251.088327
39.2076,61,17262.046131
-237.297789,295,17285.113137
-515.093881,312,17308.979876
-34.857736,35,17319.05743
50.95662,39,17328.940994
-2.435595,39,17338.370462
-181.466094,18,17347.80233
-41.476575,46,17358.289574
1231.027569,356,17517.270023
942.559913,211,17535.325921
1058.1275,201,17553.372304
2.088486,55,17563.859918
-82.427956,34,17573.500218
57.589256,55,17583.639667
877.441252,251,17604.328441
564.718652,296,17626.97738
622.999123,286,17796.621651
333.230966,195,17814.577179
-28.335481,42,17825.104226
1051.800826,249,17845.233421
-68.483834,500,17877.773845
-62.710146,36,17888.270944
-51.60769,43,17898.346262
-4.067873,38,18047.341565
448.254531,141,18062.788563
-149.27919,47,18072.666567
124.664439,107,18087.484341
-40.43732,37,18097.110142
1438.932899,230,18117.231057
86.693522,125,18131.611446
392.426865,95,18143.883189
-163.993305,21,18153.315801
-752.724843,383,18180.053862
47.983335,38,18189.929122
74.360853,76,18352.893811
-125.100897,25,18362.37824
4.260936,60,18372.906455
366.238156,181,18390.757528
217.964294,69,18401.648812
-47.277437,34,18411.325339
146.210025,63,18422.059195
2084.513003,327,18446.35649
-26.219199,57,18456.737765
741.444344,164,18473.227636
8.386197,42,18483.164092
383.507227,101,18496.705902
750.407612,184,18662.192006
-16.943899,473,18693.580046
163.942042,62,18704.208297
-19.235437,41,18713.946454
1192.960786,226,18732.869747
-101.224764,150,18748.669493
77.707572,64,18759.905741
-51.546679,36,18770.407894
280.285581,85,18783.294538
-68.127074,37,18793.72777
175.567075,182,18950.386961
548.243405,143,18965.473783
422.197716,129,18980.500135
870.328038,178,18997.040977
-16.017221,42,19007.950495
796.454037,149,19023.935066
-49.695938,55,19034.577133
1502.286766,268,19055.485941
-238.156004,72,19066.524493
855.694506,199,19242.432005
-134.327863,36,19252.059768
322.389945,254,19273.345592
-17.663905,37,19283.417183
746.664889,149,19299.904449
656.73959,138,19314.87033
301.154366,107,19328.774331
-15.855705,45,19339.209042
-15.969028,42,19348.896367
92.467373,45,19359.427281
-166.651222,13,19368.760764
1170.359076,228,19387.591116
-34.13082,41,19398.236641
-167.518686,30,19407.817368
1650.559502,279,19582.526992
40.990034,46,19592.830823
1148.170166,201,19611.464177
-99.959745,39,19621.252022
80.772172,52,19631.527951
759.184391,508,19665.066728
2665.89477,388,19825.911978
990.535433,161,19842.385827
5155.007225,1055,20019.434695
689.083489,164,20035.372656
743.322861,148,20050.847309
14.81986,48,20061.543517
1697.600076,474,20093.328216
-193.328513,39,20103.379041
987.044618,233,20122.512689
434.907891,98,20284.63315
-167.00191,14,20294.016294
-100.473283,391,20321.370922
93.01435,48,20331.84194
-65.941484,38,20342.178
3466.470806,513,20376.193029
203.44177,61,20387.223434
-188.589525,31,20396.813139
